player_name,team,total_hits,at_bats,obp,bb_rate,k_rate
"Little, Brendon",DET,1,1,0.5,0.0,0.0
"de Geus, Brett",MIA,44,187,0.2803738317757009,0.0855614973262032,0.3850267379679144
"Bassitt, Chris",PIT,1,9,0.18181818181818182,0.1111111111111111,0.6666666666666666
"Díaz, Miguel",DET,0,1,0.0,0.0,0.0
"Brigham, Jeff",BOS,0,2,0.0,0.0,1.0
"Olson, Reese",BAL,0,1,0.0,0.0,1.0
"Varland, Louis",ATL,0,3,0.25,0.3333333333333333,1.0
"Akin, Keegan",MIN,97,397,0.2719665271966527,0.08312342569269521,0.23929471032745592
"McWilliams, Sam",SEA,2,2,0.6666666666666666,0.0,0.0
"Alvarado, José",CIN,3,24,0.16666666666666666,0.08333333333333333,0.5833333333333334
"Kelley, Trevor",CWS,0,1,0.0,0.0,1.0
"Jefferies, Daulton",CHC,2,5,0.4,0.0,0.4
"Gray, Sonny",SF,5,28,0.3055555555555556,0.21428571428571427,0.25
"Case, Brad",ATL,1,2,0.5,0.0,0.5
"Alford, Peyton",SD,0,2,0.0,0.0,0.5
"Nance, Tommy",LAA,62,231,0.3258426966292135,0.10822510822510822,0.13852813852813853
"De Los Santos, Yerry",ATL,1,4,0.25,0.0,0.75
"Juarez, Daniel",HOU,0,1,0.0,0.0,1.0
"Weems, Jordan",STL,0,1,0.0,0.0,0.0
"Glasnow, Tyler",CIN,2,9,0.3,0.1111111111111111,0.3333333333333333
"Robertson, David",LAA,17,96,0.26785714285714285,0.13541666666666666,0.4583333333333333
"Thornton, Trent",AZ,0,1,0.0,0.0,0.0
"McClure, Kade",NYY,0,3,0.25,0.3333333333333333,1.0
"Webb, Logan",SD,64,258,0.27631578947368424,0.07751937984496124,0.16279069767441862
"Abney, Alaska",CLE,1,3,0.3333333333333333,0.0,0.6666666666666666
"Wheeler, Zack",TOR,0,1,0.0,0.0,1.0
"Mosqueda, Oddanier",PHI,1,6,0.16666666666666666,0.0,0.3333333333333333
"Robert, Daniel",KC,0,1,0.0,0.0,1.0
"Onyshko, Ben",CHC,1,2,0.5,0.0,0.5
"Church, Marc",KC,3,8,0.4,0.125,0.375
"King, Bryan",HOU,0,1,0.0,0.0,1.0
"Santos, Junior",HOU,0,2,0.0,0.0,0.5
"Johnson, Pierce",NYM,3,24,0.23333333333333334,0.16666666666666666,0.25
"Hughes, Jonathan",MIN,1,5,0.3333333333333333,0.2,0.6
"Cole, Gerrit",KC,92,425,0.26078028747433263,0.08235294117647059,0.28
"López, Reynaldo",KC,33,122,0.29577464788732394,0.07377049180327869,0.2540983606557377
"Vodnik, Victor",SEA,2,3,0.6666666666666666,0.0,0.0
"Alcala, Jorge",BAL,1,1,1.0,1.0,0.0
"Crouse, Hans",CHC,0,1,0.5,1.0,0.0
"Hamilton, Ian",OAK,18,111,0.2647058823529412,0.16216216216216217,0.4144144144144144
"Garrett, Reed",PHI,9,32,0.3157894736842105,0.09375,0.21875
"Morton, Charlie",ATL,11,45,0.29411764705882354,0.08888888888888889,0.26666666666666666
"Irvin, Jake",PIT,10,38,0.3181818181818182,0.10526315789473684,0.42105263157894735
"Richards, Trevor",BOS,0,1,0.0,0.0,1.0
